"t","x","p","s","c","i","z"
"2021-03-17T17:50:36.349017856Z","P",90.5,1,"["" "",""F"",""I""]",52983527396149,"B"
"2021-03-17T17:50:36.349017856Z","P",90.5,25,"["" "",""F"",""I""]",52983527396152,"B"
"2021-03-17T17:50:36.349017856Z","P",90.51,100,"["" "",""F""]",52983527396146,"B"
"2021-03-17T17:50:36.349017856Z","P",90.5,2,"["" "",""F"",""I""]",52983527396148,"B"
"2021-03-17T17:50:36.350562Z","J",90.5,100,"["" ""]",52983525161837,"B"
"2021-03-17T17:50:36.350564Z","Y",90.5,100,"["" ""]",52983525170741,"B"
"2021-03-17T17:50:36.350568Z","Z",90.5,100,"["" ""]",52983525553975,"B"
"2021-03-17T17:50:36.350696116Z","X",90.51,100,"["" ""]",62879148692576,"B"
"2021-03-17T17:50:36.35069829Z","B",90.51,100,"["" ""]",62879149873977,"B"
"2021-03-17T17:50:36.35074688Z","N",90.51,100,"["" ""]",52983525426506,"B"
"2021-03-17T17:50:36.351454334Z","T",90.51,100,"["" "",""F""]",62879720753502,"B"
"2021-03-17T17:50:36.351454334Z","T",90.5,100,"["" "",""F""]",62879720753503,"B"
"2021-03-17T17:50:36.351575Z","Z",90.53,200,"["" "",""F""]",52983525553976,"B"
"2021-03-17T17:50:36.351604Z","Y",90.5,100,"["" ""]",52983525170742,"B"
"2021-03-17T17:50:36.35167872Z","N",90.5,100,"["" ""]",52983525426507,"B"
"2021-03-17T17:50:36.353208Z","K",90.52,200,"["" "",""F""]",52983525627737,"B"
"2021-03-17T17:50:36.355Z","D",90.5,10,"["" "",""I""]",71688226555953,"B"
"2021-03-17T17:50:36.359769344Z","P",90.52,10,"["" "",""I""]",52983527396162,"B"
"2021-03-17T17:50:36.378489856Z","P",90.5,200,"["" "",""F""]",52983527396163,"B"
"2021-03-17T17:50:36.378490368Z","P",90.5,54,"["" "",""F"",""I""]",52983527396164,"B"
"2021-03-17T17:50:36.378498816Z","P",90.5,58,"["" "",""F"",""I""]",52983527396165,"B"
"2021-03-17T17:50:36.378548992Z","P",90.5,52,"["" "",""F"",""I""]",52983527396166,"B"
"2021-03-17T17:50:36.378564864Z","P",90.5,36,"["" "",""I""]",52983527396167,"B"
"2021-03-17T17:50:36.378564864Z","P",90.5,164,"["" ""]",52983527396168,"B"
"2021-03-17T17:50:36.378600448Z","P",90.5,36,"["" "",""I""]",52983527396169,"B"
"2021-03-17T17:50:36.378600448Z","P",90.5,52,"["" "",""I""]",52983527396170,"B"
"2021-03-17T17:50:36.378660096Z","P",90.5,148,"["" ""]",52983527396171,"B"
"2021-03-17T17:50:36.37875584Z","P",90.5,100,"["" ""]",52983527396172,"B"
"2021-03-17T17:50:36.378775552Z","P",90.5,100,"["" ""]",52983527396173,"B"
"2021-03-17T17:50:36.3788736Z","P",90.5,36,"["" "",""F"",""I""]",52983527396175,"B"
"2021-03-17T17:50:36.3788736Z","P",90.5,200,"["" "",""F""]",52983527396174,"B"
"2021-03-17T17:50:36.37890176Z","P",90.5,100,"["" ""]",52983527396176,"B"
"2021-03-17T17:50:36.37898496Z","P",90.5,100,"["" ""]",52983527396177,"B"
"2021-03-17T17:50:37.826Z","D",90.4879,100,"["" ""]",71688226558005,"B"
"2021-03-17T17:50:39.29597568Z","P",90.5,72,"["" "",""F"",""I""]",52983527396179,"B"
"2021-03-17T17:50:39.296029184Z","P",90.5,128,"["" ""]",52983527396180,"B"
"2021-03-17T17:50:39.296223488Z","P",90.5,71,"["" "",""F"",""I""]",52983527396181,"B"
"2021-03-17T17:50:39.2963008Z","P",90.5,128,"["" "",""F""]",52983527396182,"B"
"2021-03-17T17:50:39.296517376Z","P",90.5,70,"["" "",""F"",""I""]",52983527396401,"B"
"2021-03-17T17:50:39.296517376Z","P",90.5,1,"["" "",""F"",""I""]",52983527396400,"B"
"2021-03-17T17:50:39.85954688Z","P",90.5,130,"["" "",""F""]",52983527396403,"B"
"2021-03-17T17:50:40.02409088Z","P",90.5,64,"["" "",""F"",""I""]",52983527396405,"B"
"2021-03-17T17:50:41.075Z","D",90.4901,10,"["" "",""I""]",79372343005495,"B"
"2021-03-17T17:50:46.492Z","D",90.5096,5,"["" "",""I""]",71688226682168,"B"
"2021-03-17T17:50:55.335187Z","K",90.5,10,"["" "",""F"",""I""]",52983525627763,"B"
"2021-03-17T17:50:56.786Z","D",90.5615,4,"["" "",""I""]",71688226755663,"B"
"2021-03-17T17:50:57.592943616Z","P",90.5,1,"["" "",""F"",""I""]",52983527396435,"B"
"2021-03-17T17:50:59.244Z","D",90.55,20,"["" "",""I""]",71688226816846,"B"
"2021-03-17T17:51:00.025Z","D",90.5899,6,"["" "",""I""]",79372343068502,"B"
"2021-03-17T17:51:01.307Z","D",90.5899,5,"["" "",""I""]",79372343069007,"B"
"2021-03-17T17:51:02.81Z","D",90.4801,10,"["" "",""I""]",71688226822477,"B"
"2021-03-17T17:51:03.792179968Z","P",90.48,50,"["" "",""F"",""I""]",52983527396679,"B"
"2021-03-17T17:51:03.792180992Z","P",90.48,50,"["" "",""I""]",52983527396680,"B"
"2021-03-17T17:51:03.79231Z","Z",90.48,2,"["" "",""F"",""I""]",52983525554021,"B"
"2021-03-17T17:51:03.79231Z","Z",90.48,100,"["" "",""F""]",52983525554022,"B"
"2021-03-17T17:51:03.792667Z","K",90.47,1,"["" "",""F"",""I""]",52983525627960,"B"
"2021-03-17T17:51:03.792728642Z","T",90.47,46,"["" "",""F"",""I""]",62879720890699,"B"
"2021-03-17T17:51:03.792728642Z","T",90.47,78,"["" "",""F"",""I""]",62879720890700,"B"
"2021-03-17T17:51:03.792746051Z","T",90.47,22,"["" "",""F"",""I""]",62879720890701,"B"
"2021-03-17T17:51:03.794Z","D",90.47,100,"["" ""]",71688226879813,"B"
"2021-03-17T17:51:03.796891Z","K",90.46,1,"["" "",""I""]",52983525627963,"B"
"2021-03-17T17:51:03.797Z","D",90.47,100,"["" ""]",71688226879792,"B"
"2021-03-17T17:51:04.758Z","D",90.5,1,"["" "",""I""]",71688226884665,"B"
"2021-03-17T17:51:04.795Z","D",90.55,1,"["" "",""I""]",71688226884166,"B"
"2021-03-17T17:51:04.796Z","D",90.525,1,"["" "",""I""]",79372343070276,"B"
"2021-03-17T17:51:06.755Z","D",90.5099,2,"["" "",""I""]",79372343071031,"B"
"2021-03-17T17:51:08Z","D",90.47,200,"["" "",""7"",""V""]",71688226948939,"B"
"2021-03-17T17:51:08.44992Z","K",90.45,20,"["" "",""I""]",52983525627993,"B"
"2021-03-17T17:51:08.44992Z","K",90.45,5,"["" "",""I""]",52983525627992,"B"
"2021-03-17T17:51:08.450141184Z","N",90.45,100,"["" "",""F""]",52983525426518,"B"
"2021-03-17T17:51:11.181423Z","Y",90.42,100,"["" "",""F""]",52983525170766,"B"
"2021-03-17T17:51:11.181435Z","J",90.42,100,"["" "",""F""]",52983525161850,"B"
"2021-03-17T17:51:11.181484366Z","B",90.42,100,"["" "",""F""]",62879149877564,"B"
"2021-03-17T17:51:11.181484525Z","X",90.41,100,"["" "",""F""]",62879148695130,"B"
"2021-03-17T17:51:12.130891264Z","P",90.43,200,"["" ""]",52983527396689,"B"
"2021-03-17T17:51:12.34Z","D",90.5299,117,"["" ""]",71688227013939,"B"
"2021-03-17T17:51:21.243681Z","J",90.46,100,"["" ""]",52983525162050,"B"
"2021-03-17T17:51:21.243698Z","Y",90.46,100,"["" ""]",52983525170778,"B"
"2021-03-17T17:51:21.243970436Z","V",90.46,100,"["" ""]",55269660052278,"B"
"2021-03-17T17:51:21.244Z","D",90.465,40,"["" "",""I""]",71688227084630,"B"
"2021-03-17T17:51:21.244Z","D",90.465,75,"["" "",""I""]",71688227139659,"B"
"2021-03-17T17:51:21.256386304Z","P",90.45,75,"["" "",""I""]",52983527396929,"B"
"2021-03-17T17:51:21.295774Z","J",90.45,1,"["" "",""F"",""I""]",52983525162051,"B"
"2021-03-17T17:51:21.295793Z","J",90.45,1,"["" "",""F"",""I""]",52983525162053,"B"
"2021-03-17T17:51:21.295793Z","J",90.45,99,"["" "",""F"",""I""]",52983525162052,"B"
"2021-03-17T17:51:21.295825Z","J",90.45,71,"["" "",""F"",""I""]",52983525162054,"B"
"2021-03-17T17:51:21.29584Z","J",90.45,28,"["" "",""F"",""I""]",52983525162055,"B"
"2021-03-17T17:51:21.296Z","D",90.45,100,"["" ""]",71688227084855,"B"
"2021-03-17T17:51:21.298Z","D",90.45,36,"["" "",""I""]",71688227084856,"B"
"2021-03-17T17:51:22.295925Z","J",90.45,20,"["" "",""F"",""I""]",52983525162056,"B"
"2021-03-17T17:51:22.29597Z","J",90.45,80,"["" "",""F"",""I""]",52983525162057,"B"
"2021-03-17T17:51:22.296141691Z","T",90.44,100,"["" ""]",62879733671475,"B"
"2021-03-17T17:51:24.828719Z","J",90.45,100,"["" "",""F""]",52983525162059,"B"
"2021-03-17T17:51:25.353938Z","J",90.45,100,"["" "",""F""]",52983525162060,"B"
"2021-03-17T17:51:25.568Z","D",90.41,4,"["" "",""I""]",71688227147351,"B"
"2021-03-17T17:51:26.249127218Z","U",90.45,100,"["" ""]",53104255326584,"B"
"2021-03-17T17:51:26.878Z","D",90.54,1,"["" "",""I""]",71688227149893,"B"
"2021-03-17T17:51:27.396Z","D",90.455,74,"["" "",""I""]",71688227205195,"B"
"2021-03-17T17:51:27.396188Z","J",90.45,72,"["" "",""F"",""I""]",52983525162062,"B"
"2021-03-17T17:51:28.395973Z","J",90.45,100,"["" "",""F""]",52983525162064,"B"
"2021-03-17T17:51:28.43799Z","J",90.45,28,"["" "",""F"",""I""]",52983525162065,"B"
"2021-03-17T17:51:32.83535488Z","P",90.44,30,"["" "",""F"",""I""]",52983527396939,"B"
"2021-03-17T17:51:36.816Z","D",90.4101,1,"["" "",""I""]",79372343137329,"B"
"2021-03-17T17:51:44.927Z","D",90.54,2,"["" "",""I""]",71688227347018,"B"
"2021-03-17T17:51:45.624Z","D",90.425,10,"["" "",""I""]",71688227403091,"B"
"2021-03-17T17:51:49.041Z","D",90.54,1,"["" "",""I""]",71688227411783,"B"
"2021-03-17T17:51:52.469Z","D",90.42,15,"["" "",""I""]",71688227474500,"B"
"2021-03-17T17:52:01.578Z","D",90.4915,120,"["" ""]",71688227605560,"B"
"2021-03-17T17:52:04.791491584Z","P",90.49,3,"["" "",""F"",""I""]",52983527452994,"B"
"2021-03-17T17:52:05.388089088Z","P",90.42,50,"["" "",""F"",""I""]",52983527452996,"B"
"2021-03-17T17:52:05.388089088Z","P",90.41,100,"["" "",""F""]",52983527452998,"B"
"2021-03-17T17:52:05.388089088Z","P",90.45,1,"["" "",""F"",""I""]",52983527452995,"B"
"2021-03-17T17:52:05.388089088Z","P",90.41,100,"["" "",""F""]",52983527452997,"B"
"2021-03-17T17:52:05.390432Z","Z",90.41,100,"["" "",""F""]",52983525554752,"B"
"2021-03-17T17:52:05.391806Z","Z",90.41,100,"["" ""]",52983525554753,"B"
"2021-03-17T17:52:05.391927529Z","T",90.46,100,"["" ""]",62879733990970,"B"
"2021-03-17T17:52:05.906979584Z","P",90.43,349,"["" "",""F""]",52983527452999,"B"
"2021-03-17T17:52:05.9070336Z","N",90.43,100,"["" "",""F""]",52983525426763,"B"
"2021-03-17T17:52:05.90707456Z","P",90.43,151,"["" "",""F""]",52983527453000,"B"
"2021-03-17T17:52:05.9071552Z","P",90.43,100,"["" ""]",52983527453001,"B"
"2021-03-17T17:52:07.163659264Z","P",90.43,100,"["" "",""F""]",52983527453002,"B"
"2021-03-17T17:52:09.655652Z","K",90.51,10,"["" "",""F"",""I""]",52983525628483,"B"
"2021-03-17T17:52:09.65585664Z","P",90.52,10,"["" "",""F"",""I""]",52983527453014,"B"
"2021-03-17T17:52:10.051400826Z","T",90.54,100,"["" "",""F""]",62879734055512,"B"
"2021-03-17T17:52:10.05149146Z","T",90.54,50,"["" "",""F"",""I""]",62879734055513,"B"
"2021-03-17T17:52:10.051517273Z","T",90.54,50,"["" "",""F"",""I""]",62879734055514,"B"
"2021-03-17T17:52:10.051552Z","K",90.53,10,"["" "",""F"",""I""]",52983525628484,"B"
"2021-03-17T17:52:10.051630848Z","P",90.54,100,"["" "",""F""]",52983527453235,"B"
"2021-03-17T17:52:10.05186938Z","T",90.54,100,"["" ""]",62879734055516,"B"
"2021-03-17T17:52:11.314Z","D",90.5257,50,"["" "",""I""]",79372343260247,"B"
"2021-03-17T17:52:13.634Z","D",90.5,1000,"["" ""]",79372343261239,"B"
"2021-03-17T17:52:16.304494188Z","T",90.54,100,"["" "",""F""]",62879734064217,"B"
"2021-03-17T17:52:16.443Z","D",90.525,100,"["" ""]",71688227797061,"B"
"2021-03-17T17:52:25.039214336Z","P",90.56,100,"["" ""]",52983527453255,"B"
"2021-03-17T17:52:28.197Z","D",90.5716,33,"["" "",""I""]",71688241890872,"B"
"2021-03-17T17:52:29.402Z","D",90.56,100,"["" ""]",71688241894706,"B"
"2021-03-17T17:52:29.403Z","D",90.56,100,"["" ""]",71688241894709,"B"
"2021-03-17T17:52:29.403Z","D",90.5575,100,"["" ""]",71688241894708,"B"
"2021-03-17T17:52:29.403Z","D",90.56,100,"["" ""]",71688241894705,"B"
"2021-03-17T17:52:29.403Z","D",90.56,100,"["" ""]",71688241894707,"B"
"2021-03-17T17:52:29.405Z","D",90.56,100,"["" ""]",71688241894712,"B"
"2021-03-17T17:52:36.229695744Z","P",90.54,27,"["" "",""F"",""I""]",52983527453494,"B"
"2021-03-17T17:52:36.713032Z","Y",90.51,30,"["" "",""F"",""I""]",52983525171027,"B"
"2021-03-17T17:52:36.713197765Z","B",90.51,30,"["" "",""F"",""I""]",62879149934943,"B"
"2021-03-17T17:52:36.713199092Z","B",90.51,70,"["" "",""F"",""I""]",62879149934944,"B"
"2021-03-17T17:52:36.713200896Z","T",90.51,100,"["" "",""F""]",62879734248537,"B"
"2021-03-17T17:52:36.713228679Z","X",90.51,18,"["" "",""F"",""I""]",62879148750162,"B"
"2021-03-17T17:52:36.713409792Z","N",90.51,75,"["" "",""F"",""I""]",52983525426771,"B"
"2021-03-17T17:52:36.713421056Z","P",90.51,50,"["" "",""F"",""I""]",52983527453495,"B"
"2021-03-17T17:52:36.713450752Z","N",90.51,25,"["" "",""F"",""I""]",52983525426772,"B"
"2021-03-17T17:52:38.446Z","D",90.53,44,"["" "",""I""]",71688242022217,"B"
"2021-03-17T17:52:40.109234688Z","P",90.5,100,"["" ""]",52983527453506,"B"
"2021-03-17T17:52:40.145174162Z","T",90.48,24,"["" "",""I""]",62879734253629,"B"
"2021-03-17T17:52:44.583Z","D",90.46,4,"["" "",""I""]",71688242147666,"B"
"2021-03-17T17:52:54.936Z","D",90.4999,25,"["" "",""I""]",71688242222130,"B"
"2021-03-17T17:53:13.204684288Z","P",90.436,10,"["" "",""I""]",52983527454002,"B"
"2021-03-17T17:53:14.141402Z","K",90.5,3,"["" "",""F"",""I""]",52983525628778,"B"
"2021-03-17T17:53:25.575324897Z","T",90.5,100,"["" ""]",62879734582598,"B"
"2021-03-17T17:53:28.091Z","D",90.49,27,"["" "",""I""]",71688243132241,"B"
"2021-03-17T17:53:29.455Z","D",90.5299,500,"["" ""]",79372343399756,"B"
"2021-03-17T17:53:31.476Z","D",90.475,1,"["" "",""I""]",71688243140169,"B"
"2021-03-17T17:53:32.385Z","D",90.52,8,"["" "",""I""]",71688243141210,"B"
"2021-03-17T17:53:33.055030528Z","P",90.46,500,"["" ""]",52983527454257,"B"
"2021-03-17T17:53:33.421583616Z","P",90.44,100,"["" "",""F""]",52983527454258,"B"
"2021-03-17T17:53:33.421637376Z","N",90.46,100,"["" "",""F""]",52983525427018,"B"
"2021-03-17T17:53:33.422Z","D",90.46,3,"["" "",""I""]",71688243197262,"B"
"2021-03-17T17:53:33.422383104Z","P",90.44,100,"["" ""]",52983527454259,"B"
"2021-03-17T17:53:33.42239616Z","P",90.44,100,"["" ""]",52983527454260,"B"
"2021-03-17T17:53:33.422457344Z","P",90.44,42,"["" "",""F"",""I""]",52983527454261,"B"
"2021-03-17T17:53:33.422473216Z","P",90.44,58,"["" "",""F"",""I""]",52983527454262,"B"
"2021-03-17T17:53:33.423063296Z","N",90.46,10,"["" "",""F"",""I""]",52983525427019,"B"
"2021-03-17T17:53:33.966Z","D",90.45,100,"["" ""]",71688243198262,"B"
"2021-03-17T17:53:36.179042097Z","T",90.45,100,"["" "",""F""]",62879734649937,"B"
"2021-03-17T17:53:36.179265792Z","P",90.45,52,"["" "",""F"",""I""]",52983527454265,"B"
"2021-03-17T17:53:36.179282688Z","P",90.45,448,"["" ""]",52983527454273,"B"
"2021-03-17T17:53:38.31085391Z","T",90.47,100,"["" "",""F""]",62879734653498,"B"
"2021-03-17T17:53:38.310888192Z","P",90.47,100,"["" "",""F""]",52983527454281,"B"
"2021-03-17T17:53:38.310888192Z","P",90.47,500,"["" "",""F""]",52983527454282,"B"
"2021-03-17T17:53:38.316082176Z","P",90.48,75,"["" "",""F"",""I""]",52983527454284,"B"
"2021-03-17T17:53:38.31610624Z","P",90.48,25,"["" "",""F"",""I""]",52983527454285,"B"
"2021-03-17T17:53:47.510023248Z","T",90.46,200,"["" "",""F""]",62879734716773,"B"
"2021-03-17T17:53:49.886Z","D",90.47,1,"["" "",""I""]",71688243393089,"B"
"2021-03-17T17:53:50.567Z","D",90.47,25,"["" "",""I""]",71688243393867,"B"
"2021-03-17T17:53:51.204893696Z","P",90.44,75,"["" "",""F"",""I""]",52983527454514,"B"
"2021-03-17T17:53:51.20494464Z","P",90.44,154,"["" "",""F""]",52983527454515,"B"
"2021-03-17T17:53:51.204945152Z","P",90.44,135,"["" "",""F""]",52983527454516,"B"
"2021-03-17T17:53:51.204951808Z","P",90.44,20,"["" "",""F"",""I""]",52983527454518,"B"
"2021-03-17T17:53:51.204951808Z","P",90.44,136,"["" "",""F""]",52983527454517,"B"
"2021-03-17T17:53:51.204980224Z","P",90.44,100,"["" ""]",52983527454520,"B"
"2021-03-17T17:53:51.204980224Z","P",90.44,30,"["" "",""I""]",52983527454519,"B"
"2021-03-17T17:53:51.205Z","D",90.44,100,"["" ""]",71688243394893,"B"
"2021-03-17T17:53:51.205Z","D",90.43,100,"["" ""]",71688243397173,"B"
"2021-03-17T17:53:51.205053Z","Z",90.44,71,"["" "",""F"",""I""]",52983525555281,"B"
"2021-03-17T17:53:51.205070848Z","P",90.44,100,"["" ""]",52983527454521,"B"
"2021-03-17T17:53:51.205095Z","Z",90.44,90,"["" "",""F"",""I""]",52983525555282,"B"
"2021-03-17T17:53:51.205115Z","K",90.44,200,"["" ""]",52983525629010,"B"
"2021-03-17T17:53:51.205129Z","Z",90.44,200,"["" ""]",52983525555283,"B"
"2021-03-17T17:53:51.205133935Z","T",90.44,213,"["" "",""F""]",62879734773596,"B"
"2021-03-17T17:53:51.205137Z","Z",90.44,139,"["" ""]",52983525555284,"B"
"2021-03-17T17:53:51.205137539Z","T",90.44,30,"["" "",""F"",""I""]",62879734773597,"B"
"2021-03-17T17:53:51.205138Z","K",90.44,257,"["" ""]",52983525629011,"B"
"2021-03-17T17:53:51.205138019Z","T",90.44,205,"["" "",""F""]",62879734773598,"B"
"2021-03-17T17:53:51.205158062Z","T",90.44,52,"["" "",""I""]",62879734773599,"B"
"2021-03-17T17:53:51.2052Z","K",90.44,43,"["" "",""I""]",52983525629012,"B"
"2021-03-17T17:53:51.205694436Z","T",90.43,50,"["" "",""F"",""I""]",62879734774070,"B"
"2021-03-17T17:53:51.205694436Z","T",90.43,21,"["" "",""F"",""I""]",62879734774071,"B"
"2021-03-17T17:53:51.205756793Z","T",90.43,29,"["" "",""I""]",62879734774075,"B"
"2021-03-17T17:53:51.206Z","D",90.43,75,"["" "",""I""]",71688243397176,"B"
"2021-03-17T17:53:51.206Z","D",90.43,100,"["" ""]",71688243397185,"B"
"2021-03-17T17:53:51.206Z","D",90.43,100,"["" ""]",71688243397961,"B"
"2021-03-17T17:53:51.207Z","D",90.43,100,"["" ""]",71688243397186,"B"
"2021-03-17T17:53:51.209Z","D",90.43,25,"["" "",""I""]",71688243397192,"B"
"2021-03-17T17:53:51.209Z","D",90.43,100,"["" ""]",71688243397191,"B"
